# time, vdd, inp, inn, out
0.000000000000000000e+00,4.600000000000000200e-01,9.899999999999999911e-01,1.000000000000000056e-01,4.598815430763638079e-01
9.899999999999999976e-08,4.608909999999999951e-01,9.879209999999999381e-01,1.062369999999999981e-01,4.600228738064067735e-01
1.979999999999999995e-07,4.617820000000000258e-01,9.858419999999999961e-01,1.124740000000000045e-01,4.602841312180698252e-01
3.959999999999999990e-07,4.635640000000000316e-01,9.816840000000000011e-01,1.249480000000000035e-01,4.610096607885567077e-01
7.919999999999999980e-07,4.671280000000000432e-01,9.733680000000000110e-01,1.498960000000000015e-01,4.633537118720874037e-01
1.583999999999999996e-06,4.742560000000000109e-01,9.567360000000000309e-01,1.997919999999999974e-01,4.696073747511708141e-01
3.167999999999999992e-06,4.885120000000000018e-01,9.234720000000000706e-01,2.995839999999999614e-01,4.808382671497787864e-01
5.957800337054541938e-06,5.136202030334908741e-01,8.648861929218546463e-01,4.753414212344361234e-01,4.109836484871104423e-01
8.842428692177459049e-06,5.395818582295971444e-01,8.043089974642734230e-01,6.570730076071799042e-01,1.846522879474002954e-01
1.000000000000000082e-05,5.500000000000000444e-01,7.800000000000000266e-01,7.299999999999999822e-01,1.446734917664259101e-01
1.018701462942821545e-05,5.526182048119950840e-01,7.861714827711311360e-01,7.348623803651335162e-01,1.490283700119510446e-01
1.056104388828464303e-05,5.578546144359850523e-01,7.985144483133932436e-01,7.445871410954006953e-01,1.564305610772342425e-01
1.130910240599749988e-05,5.683274336839649887e-01,8.232003793979174588e-01,7.640366625559349423e-01,1.678924437924707858e-01
1.280521944142321189e-05,5.892730721799249727e-01,8.725722415669660004e-01,8.029357054770034363e-01,1.899106295445896764e-01
1.554747862479832874e-05,6.276647007471766182e-01,9.630667946183448791e-01,8.742344442447564923e-01,2.312943694576681253e-01
2.000000000000000164e-05,6.900000000000000577e-01,1.110000000000000098e+00,9.899999999999999911e-01,3.009656532595511580e-01
2.054845183667502602e-05,6.527052751060984370e-01,1.082577408166248922e+00,9.817732224498746385e-01,2.829469431758984133e-01
2.164535551002507140e-05,5.781158253182953066e-01,1.027732224498746572e+00,9.653196673496239333e-01,2.302238155580031698e-01
2.383916285672516556e-05,4.289369257426888793e-01,9.180418571637418701e-01,9.324125571491225228e-01,1.030629130115996717e-01
2.555564493583081968e-05,3.122161443635043110e-01,8.322177532084591434e-01,9.066653259625376826e-01,3.544220108645428774e-02
2.736004835451638734e-05,1.895167118928857697e-01,7.419975822741806670e-01,8.795992746822541841e-01,1.528215164338121712e-02
2.816929886998058023e-05,1.344876768413206802e-01,7.015350565009710326e-01,8.674605169502912494e-01,1.462086736251475699e-02
2.902875730252215528e-05,7.604450342849344846e-02,6.585621348738922576e-01,8.545686404621676280e-01,1.172480554888103571e-02
2.997940491271336997e-05,1.140046593549093323e-02,6.110297543643314899e-01,8.403089263092994310e-01,1.008895949136655486e-02
3.000000000000000076e-05,1.000000000000000021e-02,6.099999999999999867e-01,8.399999999999999689e-01,1.004561706408694730e-02
3.004119017457326234e-05,1.424258798104594340e-02,6.116887971575036831e-01,8.409061838406117761e-01,1.007000765744371293e-02
3.012357052371978551e-05,2.272776394313782977e-02,6.150663914725111869e-01,8.427185515218352796e-01,1.014112263998824016e-02
3.028833122201283185e-05,3.969811586732159558e-02,6.218215801025260836e-01,8.463432868842822865e-01,1.037574781271977283e-02
3.061785261859892792e-05,7.363881971568947415e-02,6.353319573625559880e-01,8.535927576091764113e-01,1.101934136829278536e-02
3.127689541177111328e-05,1.415202274124245929e-01,6.623527118826155746e-01,8.680916990589644389e-01,1.260629596198278683e-02
3.259498099811548400e-05,2.772830428058947194e-01,7.163942209227347480e-01,8.970895819585406050e-01,1.797729203577234577e-02
3.410640025227646706e-05,4.329592259844759483e-01,7.783624103433350871e-01,9.303408055500822504e-01,5.444090013193560867e-02
3.552582521038076438e-05,5.791599966692185797e-01,8.365588336256112312e-01,9.615681546283767478e-01,1.623161400333066051e-01
3.748685481685949509e-05,7.811460461365278274e-01,9.169610474912391895e-01,1.004710805970908893e+00,3.580223536748434743e-01
3.929255301700580115e-05,9.671329607515972704e-01,9.909946736972377046e-01,1.044436166374127506e+00,5.225912018791578628e-01
4.000000000000000327e-05,1.040000000000000036e+00,1.020000000000000018e+00,1.060000000000000053e+00,5.733878411673793973e-01
4.018350613581643624e-05,1.036880395691120782e+00,1.022936098173062858e+00,1.060550518407449294e+00,5.797141170991212400e-01
4.055051840744930219e-05,1.030641187073362053e+00,1.028808294519188760e+00,1.061651555222347998e+00,5.888772847366742225e-01
4.128454295071503407e-05,1.018162769837844595e+00,1.040552687211440563e+00,1.063853628852145183e+00,5.965493551247582626e-01
4.275259203724649784e-05,9.932059353668095669e-01,1.064041472595943949e+00,1.068257776111739554e+00,5.936481462104316043e-01
4.568869021030943215e-05,9.432922664247397337e-01,1.111019043364950942e+00,1.077066070630928296e+00,5.510152259522141938e-01
5.000000000000000240e-05,8.699999999999999956e-01,1.179999999999999938e+00,1.090000000000000080e+00,4.799490935125689250e-01
5.035166546596866582e-05,8.647250180104700812e-01,1.144130122471196387e+00,1.079450036020940251e+00,4.738719435141304781e-01
5.105499639790599266e-05,8.541750540314101414e-01,1.072390367413589063e+00,1.058350108062820372e+00,4.613414458900401138e-01
5.246165826178065313e-05,8.330751260732902619e-01,9.289108572983737488e-01,1.016150252146580613e+00,4.349442852278430638e-01
5.471545069591658223e-05,7.992682395612513702e-01,6.990240290165090631e-01,9.485364791225027181e-01,3.361747049629261186e-01
5.705538976909316912e-05,7.641691534636025906e-01,4.603502435524974290e-01,8.783383069272051591e-01,1.579898910260453537e-01
5.916682370022859208e-05,7.324976444965711764e-01,2.449839825766843004e-01,8.149952889931424416e-01,2.346710355947989948e-02
6.000000000000000830e-05,7.199999999999999734e-01,1.600000000000000033e-01,7.900000000000000355e-01,6.579896137102969611e-03
6.002085008092740122e-05,7.195412982195973361e-01,1.611884546128614093e-01,7.905629521850396912e-01,6.653670554995422433e-03
6.006255024278219385e-05,7.186238946587918397e-01,1.635653638385845821e-01,7.916888565551190027e-01,6.792788950113927762e-03
6.014595056649177233e-05,7.167890875371811799e-01,1.683191822900305668e-01,7.939406652952776255e-01,7.045796596641295401e-03
6.031275121391093606e-05,7.131194732939595271e-01,1.778268191929228970e-01,7.984442827755950933e-01,7.561446157975743043e-03
6.064635250874926353e-05,7.057802448075163326e-01,1.968420929987075574e-01,8.074515177362299179e-01,8.826750465559380504e-03
6.131355509842591168e-05,6.911017878346300547e-01,2.348726406102764896e-01,8.254659876574994559e-01,1.287173285888079319e-02
6.264796027777922154e-05,6.617448738888572768e-01,3.109337358334151591e-01,8.614949275000387541e-01,3.274056628213554976e-02
6.414690272533890331e-05,6.287681400425443323e-01,3.963734553443170050e-01,9.019663735841502161e-01,8.198933651094177100e-02
6.609180409589058126e-05,5.859803098904073915e-01,5.072328334657626447e-01,9.544787105890455425e-01,1.565607874496748042e-01
6.790190629452182364e-05,5.461580615205200440e-01,6.104086587877435299e-01,1.003351469952089126e+00,1.675668870588943593e-01
